1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3600000062392621
Is Mission Active?  true
Mission Start:  Fri Jul 21 15:13:00 AKDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  1578
Total Samples:  3051
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/22/23 12:49:00 AM,C,5
7/22/23 12:50:00 AM,C,5
7/22/23 12:51:00 AM,C,5
7/22/23 12:52:00 AM,C,5
7/22/23 12:53:00 AM,C,5
7/22/23 12:54:00 AM,C,5
7/22/23 12:55:00 AM,C,5
7/22/23 12:56:00 AM,C,5
7/22/23 12:57:00 AM,C,5
7/22/23 12:58:00 AM,C,5
7/22/23 12:59:00 AM,C,5
7/22/23 1:00:00 AM,C,5
7/22/23 1:01:00 AM,C,5
7/22/23 1:02:00 AM,C,5
7/22/23 1:03:00 AM,C,5
7/22/23 1:04:00 AM,C,5
7/22/23 1:05:00 AM,C,5
7/22/23 1:06:00 AM,C,5
7/22/23 1:07:00 AM,C,5
7/22/23 1:08:00 AM,C,5
7/22/23 1:09:00 AM,C,5.5
7/22/23 1:10:00 AM,C,5.5
7/22/23 1:11:00 AM,C,5.5
7/22/23 1:12:00 AM,C,5.5
7/22/23 1:13:00 AM,C,5.5
7/22/23 1:14:00 AM,C,5.5
7/22/23 1:15:00 AM,C,5
7/22/23 1:16:00 AM,C,5
7/22/23 1:17:00 AM,C,5
7/22/23 1:18:00 AM,C,5.5
7/22/23 1:19:00 AM,C,5.5
7/22/23 1:20:00 AM,C,5.5
7/22/23 1:21:00 AM,C,5.5
7/22/23 1:22:00 AM,C,5.5
7/22/23 1:23:00 AM,C,5.5
7/22/23 1:24:00 AM,C,5.5
7/22/23 1:25:00 AM,C,5.5
7/22/23 1:26:00 AM,C,5.5
7/22/23 1:27:00 AM,C,5.5
7/22/23 1:28:00 AM,C,5.5
7/22/23 1:29:00 AM,C,5.5
7/22/23 1:30:00 AM,C,5.5
7/22/23 1:31:00 AM,C,5.5
7/22/23 1:32:00 AM,C,5.5
7/22/23 1:33:00 AM,C,5.5
7/22/23 1:34:00 AM,C,5.5
7/22/23 1:35:00 AM,C,5.5
7/22/23 1:36:00 AM,C,5.5
7/22/23 1:37:00 AM,C,5.5
7/22/23 1:38:00 AM,C,5.5
7/22/23 1:39:00 AM,C,5.5
